회사이름,회사설명,회사URL,설명,두 번째 P 요소 텍스트,첫 번째 Span 요소 텍스트,두 번째 Span 요소 텍스트
㈜메뉴잇,(주)메뉴잇 안드로이드 개발 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/43728454?rPageCode=SL&logpath=21,"모바일앱개발, GUI, 솔루션, asp, CRM, ERP, 안드로이드 개발자, 안드로이드, UI·UX기획",,3일 전 수정,상시채용
딥브레인 AI,[딥브레인AI] 딥러닝 연구원 / 엔지니어 모집 (전문연구요원 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/43909285?rPageCode=SL&logpath=21,"라이브러리, 솔루션, 딥러닝, 인공지능, 음성처리, 파이썬, 알고리즘, 챗봇, 소프트웨어개발, 자연어처리(NLP)",팀원,3일 전 수정,~03/02(토)
㈜메뉴잇,(주)메뉴잇 프론트엔드 개발 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/43912647?rPageCode=SL&logpath=21,"모바일앱개발, GUI, 솔루션, asp, CRM, ERP, 인터페이스, 반응형웹",,3일 전 수정,~04/01(월)
사피온코리아,AI Research Scientist (인턴),https://www.jobkorea.co.kr/Recruit/GI_Read/44018770?rPageCode=SL&logpath=21,"인공지능, AI Research",,3일 전 수정,~03/05(화)
㈜카이런소프트,[신입/경력] Java / Python / 풀스택 / 프론트엔드 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43896012?rPageCode=SL&logpath=21,"GUI, SI개발, 시스템분석, 서버관리, 정보보안, SI개발, 인터페이스, 아키텍처, 클라이언트, 시스템설계, 반응형웹, HTTP, 소프트웨어개발",사원급 외,4일 전 수정,~02/29(목)
스트레스솔루션,[스트레스솔루션] 앱개발자 백앤드 신규채용 - 서울 강남,https://www.jobkorea.co.kr/Recruit/GI_Read/44018760?rPageCode=SL&logpath=21,모바일App,주임~대리급,4일 전 수정,~03/18(월)
스트레스솔루션,[스트레스솔루션] 앱개발자 프론트앤드 신규채용 - 서울 강남,https://www.jobkorea.co.kr/Recruit/GI_Read/44018759?rPageCode=SL&logpath=21,모바일App,주임~대리급,4일 전 수정,~03/17(일)
㈜신원씨엔알,외국계 00은행 Data Center 관리업무,https://www.jobkorea.co.kr/Recruit/GI_Read/44018722?rPageCode=SL&logpath=21,"비품관리, 시스템운영, 시스템운영, 하드웨어, 서버구축, 네트워크관리, 서버구축, 자산관리, 컴퓨터, AS, 유지보수",,4일 전 수정,~03/17(일)
㈜트리즈커머스,[TRIZ] 플랫폼 서비스운영 담당자 채용(Junior),https://www.jobkorea.co.kr/Recruit/GI_Read/43777005?rPageCode=SL&logpath=21,"서비스운영, 쇼핑몰, 소셜커머스",,4일 전 수정,~03/15(금)
㈜퍼즐데이터,데이터분석가 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44018619?rPageCode=SL&logpath=21,"BigData, 데이터시각화, 데이터분석, 분석모델링, DataMining, 소프트웨어개발",,4일 전 수정,~03/17(일)
엘지유플러스,[사이버보안센터] 개인정보보호정책팀(리더) 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44018642?rPageCode=SL&logpath=21,"개인정보보호, 거버넌스 구축 및 관리, 정보보안",,4일 전 수정,~02/25(일)
㈜비타소프트,초중급 JAVA 개발자를 모십니다.(병특 보충역 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/44018563?rPageCode=SL&logpath=21,"모바일앱개발, 시스템분석, SI, 클라이언트, SI개발, 아키텍처, 시스템설계, 소프트웨어개발",,4일 전 수정,~03/17(일)
㈜다온링크,2024년도 다온링크 JAVA 개발자 수시채용 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44018460?rPageCode=SL&logpath=21,"SM, 솔루션, SI, 소프트웨어개발",팀원,4일 전 수정,~03/17(일)
㈜피치스소프트,웹 개발자 (PHP),https://www.jobkorea.co.kr/Recruit/GI_Read/44018518?rPageCode=SL&logpath=21,"서버관리, 모바일App, 클라이언트",사원급 외,4일 전 수정,~03/17(일)
㈜와이펀드,핀테크 플랫폼 전산보안관리자 (2년 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/44016596?rPageCode=SL&logpath=21,금융,,4일 전 수정,~04/16(화)
㈜토이스미스,"임베디드 개발자 채용 (경력, 신입, 산업기능요원)",https://www.jobkorea.co.kr/Recruit/GI_Read/44018474?rPageCode=SL&logpath=21,"BigData, 솔루션, 회로설계, SI, 펌웨어, 소프트웨어개발",,4일 전 수정,~04/16(화)
사피온코리아,Deep Learning Algorithm 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/44018462?rPageCode=SL&logpath=21,"딥러닝, Neural Network 최적화, 생성 및 학습",,4일 전 수정,~03/23(토)
㈜덴컴,음성 AI Resarcher 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44018452?rPageCode=SL&logpath=21,"모바일앱개발, 음성인식, 딥러닝, 인공지능, 데이터분석, 모델링, 소프트웨어개발, 자연어처리(NLP)",팀원,4일 전 수정,~03/17(일)
아이텍에이스㈜,"android, IOS /구로디지탈역, 앱 개발 / 중급,고급",https://www.jobkorea.co.kr/Recruit/GI_Read/44018421?rPageCode=SL&logpath=21,SPRING,,4일 전 수정,~02/23(금)
㈜위메이드,"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",https://www.jobkorea.co.kr/Recruit/GI_Read/44018370?rPageCode=SL&logpath=21,Open Platform 시스템,주임~대리급 외,4일 전 수정,~04/15(월)
엠플러스정보시스템㈜,OO화학 설비 포탈 시스템 구축,https://www.jobkorea.co.kr/Recruit/GI_Read/44018411?rPageCode=SL&logpath=21,"SI개발, 소프트웨어개발",,4일 전 수정,~03/17(일)
㈜알엠소프트,(주) 알엠소프트 프로젝트 PMO 채용(서울),https://www.jobkorea.co.kr/Recruit/GI_Read/44018382?rPageCode=SL&logpath=21,"BigData, 솔루션, PL, 시스템분석, PM, SI개발, ISP, 시스템설계, PO, 소프트웨어개발",과장~차장급 외,4일 전 수정,~03/04(월)
모본㈜,임베디드 F/W 개발 엔지니어 신입/경력,https://www.jobkorea.co.kr/Recruit/GI_Read/44018360?rPageCode=SL&logpath=21,"펌웨어, Firmware",,4일 전 수정,~04/16(화)
아이텍에이스㈜,"PMO / 여의도, 공공업무 사업관리 / 고급",https://www.jobkorea.co.kr/Recruit/GI_Read/44018358?rPageCode=SL&logpath=21,SPRING,,4일 전 수정,~02/23(금)
㈜덴컴,AI Research Leader 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44018357?rPageCode=SL&logpath=21,"모바일앱개발, 음성인식, 딥러닝, 인공지능, 데이터분석, 분석모델링, 모델링, 소프트웨어개발, 자연어처리(NLP)",팀장/매니저/실장,4일 전 수정,~03/17(일)
㈜알엠소프트,(주) 알엠소프트 프로젝트 PM 채용(대전),https://www.jobkorea.co.kr/Recruit/GI_Read/44018350?rPageCode=SL&logpath=21,"BigData, SI개발, 솔루션, 시스템분석, 서버관리, 클라이언트, SI개발, ISP, 아키텍처, 클라이언트, 시스템설계, 소프트웨어개발",,4일 전 수정,~03/04(월)
㈜일양로지스,(주)일양로지스 IT개발부 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44018071?rPageCode=SL&logpath=21,"육상운송, 배송",사원급 외,4일 전 수정,~03/17(일)
이케이시스,Back-end 개발자 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43811693?rPageCode=SL&logpath=21,"SI개발, 시스템분석, 서버관리, SI개발, 아키텍처, 클라이언트, 시스템설계, 소프트웨어개발",,4일 전 수정,~02/29(목)
사피온코리아,Deep Learning Inference Engineer,https://www.jobkorea.co.kr/Recruit/GI_Read/44018337?rPageCode=SL&logpath=21,"neural network 성능최적화, 딥러닝, SW 최적화",,4일 전 수정,~03/23(토)
드림플레이게임즈,모바일 게임 이펙터 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44018334?rPageCode=SL&logpath=21,"애니메이션, 캐릭터, 2D디자인, 모바일디자인, 클라이언트, 2D디자인, 도트디자인, 모션그래픽",,4일 전 수정,~03/17(일)
㈜알엠소프트,(주) 알엠소프트 프로젝트 PMO 채용(대전),https://www.jobkorea.co.kr/Recruit/GI_Read/44018326?rPageCode=SL&logpath=21,"BigData, 솔루션, PL, 시스템분석, PM, 클라이언트, SI개발, ISP, 아키텍처, 시스템설계, PO, 소프트웨어개발",,4일 전 수정,~03/04(월)
드림플레이게임즈,모바일 게임 클라이언트 개발자(경력) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44018320?rPageCode=SL&logpath=21,"2D온라인게임, 모바일앱게임, RPG, 게임소프트웨어, 클라이언트, 게임개발",,4일 전 수정,~03/17(일)
㈜아신정보기술,.Net 개발자 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/44018296?rPageCode=SL&logpath=21,"클라이언트, 소프트웨어개발",주임~대리급 외,4일 전 수정,~03/17(일)
㈜티맥스클라우드,[TmaxCloud] UX/UI 직군 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44017508?rPageCode=SL&logpath=21,"GUI, 소프트웨어개발",,4일 전 수정,~03/17(일)
누리디에스엠,"응용SW C#, Android 개발자",https://www.jobkorea.co.kr/Recruit/GI_Read/43994513?rPageCode=SL&logpath=21,"모바일앱개발, 소프트웨어개발, 솔루션, SCM, SI, 인터페이스, 데이터관리, DBMS, 시스템분석, 시스템설계, SI개발",,4일 전 수정,~03/15(금)
㈜티윈,2024년 상반기 백엔드 경력직 채용합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/44017374?rPageCode=SL&logpath=21,"소프트웨어개발, SI",팀원,4일 전 수정,~04/16(화)
쓰리피체인㈜,솔루션 기반의 Java 개발자 채용(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44017389?rPageCode=SL&logpath=21,"솔루션, SI, PLM, pms, Java, 소프트웨어개발",과장~차장급,4일 전 수정,~03/17(일)
크리니티㈜,[경력무관] IT 컨설팅 및 기술 영업(클라우드),https://www.jobkorea.co.kr/Recruit/GI_Read/44017387?rPageCode=SL&logpath=21,"모바일앱개발, 솔루션영업, 솔루션, 기술영업, 클라우드 영업, 소프트웨어개발",주임~대리급 외,4일 전 수정,~03/17(일)
㈜오토핸즈,[오토핸즈 자회사] 올카커뮤니케이션 IT개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44017373?rPageCode=SL&logpath=21,"GUI, 앱개발자, SI개발, 서버관리, IT서비스, 반응형UI, 서비스개발, 인터페이스, IT개발, 클라이언트, 반응형웹, HTTP, 인터넷경매, Java, 신규서비스구축, API 개발",사원급 외,4일 전 수정,~02/25(일)
㈜성지정보통신,네트워크 인프라 엔지니어 직원 채용(과장급/대리급),https://www.jobkorea.co.kr/Recruit/GI_Read/44017170?rPageCode=SL&logpath=21,"A·S수리, 유지보수, 천안시, 시스템운영, 네트웍구축, 시스템운영, 서버구축, 설치, 네트워크관리, 서버구축, 서버관리, 네트워크관리, 유지보수, 기술지원",,4일 전 수정,~03/17(일)
㈜락플레이스,오픈소스 DBMS 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44017309?rPageCode=SL&logpath=21,"MySQL, Azure, 솔루션, DBMS, 오픈소스, Redis, AWS, MongoDB, postgresql, GCP, NoSQL, Cloud",주임~대리급 외,4일 전 수정,~03/31(일)
㈜테스트코윈(testcowin,"(신입/경력) LG전자 제품시험 QA 테스트 모집(평택,오산)",https://www.jobkorea.co.kr/Recruit/GI_Read/44017306?rPageCode=SL&logpath=21,"테스터, 검증",사원급 외,4일 전 수정,~02/23(금)
㈜락플레이스,Apache Kafka/Confluent 지원 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/44017304?rPageCode=SL&logpath=21,"Queue, kafka, BigData, Confluent, Linux, Apache, Message Broker, 데이터베이스, NoSQL, RDBMS, 기술지원, 유지보수",사원급 외,4일 전 수정,~03/31(일)
㈜락플레이스,"오픈소스 미들웨어(JBoss, Apache, Tomcat) 기술지원 엔지니어",https://www.jobkorea.co.kr/Recruit/GI_Read/44017293?rPageCode=SL&logpath=21,"레드햇, web, Jboss, Tomcat, 미들웨어, Redhat, 기술지원, 유지보수",사원급 외,4일 전 수정,~03/31(일)
㈜헤드아이티,JAVA 개발자 신입/경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44017278?rPageCode=SL&logpath=21,"솔루션, asp, 소프트웨어개발",팀원,4일 전 수정,상시채용
㈜랜더스시스템,역삼 금융권 goLang 개발자 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/44017277?rPageCode=SL&logpath=21,"모바일앱개발, SM, SI, ERP, 소프트웨어개발",,4일 전 수정,~02/23(금)
㈜락플레이스,오픈소스 시스템 엔지니어(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44017276?rPageCode=SL&logpath=21,"솔루션, 오픈스택, 오픈소스, 레드햇, 서버구축, 리눅스, 시스템엔지니어, 가상화, Redhat, 클라우드, OpenStack",사원급 외,4일 전 수정,~03/31(일)
㈜헤드아이티,JAVA 개발자 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44017266?rPageCode=SL&logpath=21,"솔루션, asp, 소프트웨어개발",팀원,4일 전 수정,상시채용
㈜유니콘소프트,광고 차단 네트워크 보안 모듈 개발(C++),https://www.jobkorea.co.kr/Recruit/GI_Read/44017249?rPageCode=SL&logpath=21,"모바일앱개발, 소프트웨어개발, 솔루션",,4일 전 수정,~04/16(화)
㈜가구톡세상,(주)가구톡세상 웹디자이너 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/43901390?rPageCode=SL&logpath=21,"디자인기획, 전단지디자인, 현수막디자인, POP, 브랜드디자인",주임~대리급 외,4일 전 수정,~03/01(금)
㈜씨엔씨네트웍스,[정규직] 업무시스템 고도화(C#.NET & JAVA) / 과장급 경력자 구인,https://www.jobkorea.co.kr/Recruit/GI_Read/43919351?rPageCode=SL&logpath=21,"C#, Oracle, SI, SM, WinForm, 닷넷, 자바, Backend, frontend, SPRING, 모바일앱개발, 소프트웨어개발, 솔루션, SI, SM",과장~차장급,4일 전 수정,~03/03(일)
㈜유니콘소프트,윈도우 응용 프로그램 개발자(C#),https://www.jobkorea.co.kr/Recruit/GI_Read/44017205?rPageCode=SL&logpath=21,"안드로이드, 모바일App, 클라이언트, 아이폰",,4일 전 수정,~04/16(화)
㈜온비즈스타,JAVA 개발 - 플랫폼 서비스 개발 및 운영 컨텐츠 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/44017187?rPageCode=SL&logpath=21,"솔루션, 소프트웨어개발",사원급 외,4일 전 수정,~03/17(일)
㈜엠큐닉,지도 플랫폼 운영관리 및 GIS 데이터 가공 신입/경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44017161?rPageCode=SL&logpath=21,"모바일앱개발, SM, 데이터관리, data가공, 솔루션, 테스터, DBMS, MAP DATA, 시스템운영, SI, GIS, 소프트웨어개발",팀원,4일 전 수정,~04/16(화)
코코아플러스,[신입/경력] 공간정보(GIS) DB 구축 신입 및 PL/PM 경력채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43634336?rPageCode=SL&logpath=21,"모바일앱개발, 소프트웨어개발, 솔루션, DBMS, 데이터분석",사원급 외,4일 전 수정,~02/24(토)
㈜NAVER,[COO] 무효클릭 판정 개발/운영 담당 모집(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44017133?rPageCode=SL&logpath=21,"모니터링, 트래픽 분석, 트래픽 품질 평가, 무효클릭 판정 개발/운영, 데이터분석",,4일 전 수정,~02/28(수)
㈜핑거,[핑거] SI 경력자 채용 (WEB / APP / UI/UX 기획 및 디자인),https://www.jobkorea.co.kr/Recruit/GI_Read/43956253?rPageCode=SL&logpath=21,"모바일앱개발, asp, ISP, SI, SM, 핀테크, SI개발, 반응형웹, 인터페이스",,4일 전 수정,~03/08(금)
㈜아인,안드로이드 앱 신입/경력 개발자를 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/43951879?rPageCode=SL&logpath=21,"모바일게임, 모바일App, 아이폰, 안드로이드, 증강현실",사원급 외,4일 전 수정,내일마감
㈜지피에이코리아,[GPA코리아]웹/앱 풀스택개발자 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44017084?rPageCode=SL&logpath=21,"모바일, 모바일App, 안드로이드",,4일 전 수정,~04/16(화)
비브이에스㈜,홈페이지 운영 업무 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44017083?rPageCode=SL&logpath=21,"테스터, 웹마스터, 검증, 웹에이전시",사원급 외,4일 전 수정,~03/17(일)
㈜티맥스클라우드,[TmaxCloud] 서비스/제품 기획 및 컨설팅 직군 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44017051?rPageCode=SL&logpath=21,"BigData, DataWarehouse, PL, 제안·컨설팅, PM, CSAP, 앱기획, UI·UX기획, 스토리보드, DataMining, PO, 서비스기획, 소프트웨어개발",,4일 전 수정,~03/17(일)
퓨처웨어㈜,RICOH 복합기 유지보수 엔지니어 모집(정규직/대전),https://www.jobkorea.co.kr/Recruit/GI_Read/44017038?rPageCode=SL&logpath=21,"기술지원, 하드웨어, 설치, 컴퓨터, AS, 유지보수, 유지보수",사원급 외,4일 전 수정,~04/16(화)
퓨처웨어㈜,RICOH 복합기 유지보수 엔지니어 모집(정규직/서울),https://www.jobkorea.co.kr/Recruit/GI_Read/43833597?rPageCode=SL&logpath=21,"유지보수, 컴퓨터, 하드웨어, AS, 기술지원, 설치, 유지보수",사원급 외,4일 전 수정,내일마감
케이알피스인포텍,Publisher(퍼블리셔) 프리랜서 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44017010?rPageCode=SL&logpath=21,"웹표준·웹접근성, 반응형웹, 인터페이스, 반응형웹, 소프트웨어개발",,4일 전 수정,오늘마감
㈜인피니트헬스케어,[의료SW] 해외 시스템엔지니어 신입/경력 모집. 서울근무 (외국인 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/43782647?rPageCode=SL&logpath=21,"소프트웨어개발, 서버관리, 기술지원, 유지보수",,4일 전 수정,~02/29(목)
㈜이노솔루텍,[천안] 공공기관 상주인력 모집(정보보안/네트워크),https://www.jobkorea.co.kr/Recruit/GI_Read/44016955?rPageCode=SL&logpath=21,"네트웍구축, 서버구축, 네트워크관리, 보안관제, 통신",,4일 전 수정,~02/29(목)
㈜엑스엘게임즈,엑스엘게임즈 아트 부문 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44015142?rPageCode=SL&logpath=21,"3DSmax, 아트PM, 이펙트, 테크니컬 아티스트, TA, 배경 레벨 디자인, 3D모델링, 게임디자인, 모바일앱게임, 캐릭터, RPG, 모델링, 애니메이션, 원화디자인",,4일 전 수정,~03/17(일)
㈜인피니트헬스케어,[인피니트헬스케어] 의료영상 SW개발 전문연구요원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43822510?rPageCode=SL&logpath=21,"소프트웨어개발, 시스템분석, 시스템설계, 정보통신·IT, R&D, 연구·실험·기술",,4일 전 수정,~02/29(목)
㈜가든파이브라이프,전산/총무 부문 직원 채용(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/43649261?rPageCode=SL&logpath=21,"시설관리, 사이트관리, 비품관리, 자산관리, 네트워크관리, 시스템운영",,4일 전 수정,상시채용
아이에스엔솔루션,네트웍설비(OA/서버) 상주 유지보수 채용건 (신인천발전본부),https://www.jobkorea.co.kr/Recruit/GI_Read/44016898?rPageCode=SL&logpath=21,"하드웨어, 네트워크관리, 펌웨어, 컴퓨터, AS, 유지보수",사원급 외,4일 전 수정,~03/01(금)
㈜가든파이브라이프,전산/총무 부문 직원 채용(신입),https://www.jobkorea.co.kr/Recruit/GI_Read/43914789?rPageCode=SL&logpath=21,"시설관리, 사이트관리, 비품관리, 자산관리, 네트워크관리, 시스템운영",,4일 전 수정,상시채용
아이에스엔솔루션,ICT부문(OA/네트웍/서버) 상주 유지보수 채용건 (하동발전본부),https://www.jobkorea.co.kr/Recruit/GI_Read/44016887?rPageCode=SL&logpath=21,"하드웨어, 네트워크관리, 펌웨어, 컴퓨터, AS, 유지보수",사원급 외,4일 전 수정,~03/01(금)
㈜디엑스웨이브,[서울/여의도/반프리] 공공기관 00 감독시스템 플랫폼전환 2차 - 고급 AA,https://www.jobkorea.co.kr/Recruit/GI_Read/43984584?rPageCode=SL&logpath=21,"Java, SI, SM",,4일 전 수정,~03/14(목)
아이에스엔솔루션,ICT부문(OA/CCTV) 상주 유지보수 채용건 (당진발전본부),https://www.jobkorea.co.kr/Recruit/GI_Read/44016881?rPageCode=SL&logpath=21,"하드웨어, 네트워크관리, 펌웨어, 컴퓨터, AS, 유지보수",사원급 외,4일 전 수정,~03/01(금)
케이알피스인포텍,[월급 650이상 - 특급 개발자] 웹 개발자 프리랜서 채용 (Java개발자),https://www.jobkorea.co.kr/Recruit/GI_Read/44016863?rPageCode=SL&logpath=21,소프트웨어개발,,4일 전 수정,오늘마감
아이에스엔솔루션,네트웍설비(OA/서버) 상주 유지보수 채용건 (남제주발전본부),https://www.jobkorea.co.kr/Recruit/GI_Read/44016857?rPageCode=SL&logpath=21,"하드웨어, 네트워크관리, 펌웨어, 컴퓨터, AS, 유지보수",사원급 외,4일 전 수정,~03/01(금)
㈜나루씨큐리티,경력개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43664947?rPageCode=SL&logpath=21,"서버관리, 클라이언트",,4일 전 수정,~02/27(화)
㈜부영엔지니어링엔지엠피,"자동제어(PLC/HMI) 신입, 경력 사원 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/44016834?rPageCode=SL&logpath=21,PLC,,4일 전 수정,~04/16(화)
㈜청담이엠텍,IOT(사물인터넷)설치및 관리 경력자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44016800?rPageCode=SL&logpath=21,"네트워크관리, 조사분석",,4일 전 수정,~03/17(일)
㈜넥스투비,사내 응용 프로그램 연구/개발 경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44016785?rPageCode=SL&logpath=21,"모바일앱개발, DW, 솔루션, 시스템분석, 시스템운영, 정보보안, 서버구축, 시스템분석, 클라이언트, 시스템설계, OLAP, 아키텍처, 시스템설계, 네트워크관리, 소프트웨어개발",,4일 전 수정,상시채용
㈜모카커뮤니케이션즈,프론트 개발자 채용(모바일쿠폰 시스템 개발 및 연동관리),https://www.jobkorea.co.kr/Recruit/GI_Read/44008980?rPageCode=SL&logpath=21,"전자상거래, B2B, B2C, GUI, 반응형웹, 인터페이스",주임~대리급 외,4일 전 수정,~03/16(토)
콘티넨탈 코리아,콘티넨탈 코리아 24년 1분기 수시채용(신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/43720482?rPageCode=SL&logpath=21,"정보보안, 콘티넨탈오토모티브코리아, 서비스기획, 스토리보드, 데이터분석, PM, 시스템분석, 시스템설계, 시스템운영, 보안관제, 정보보안, 자동차영업, 장비영업, 기술영업, 메카트로닉스, 회로설계, 금속, 메카트로닉스, 제품개발, 플랜트, 캐드원, 3D설계, 건축설계, 금형설계, 기구설계, 전기설계, 2D설계, 생산기술, 회로설계, 제어·설계, 품질테스트, 자동차, 전기·전자, R&D, 로봇설계, 반도체·LCD, 연구·실험·기술",,4일 전 수정,상시채용
한얼누리,임베디드 펌웨어 개발 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43900766?rPageCode=SL&logpath=21,"전기제어, 전기회로, 전자, 전자회로, Hardware, 펌웨어, 시스템설계",과장~차장급,4일 전 수정,~03/30(토)
㈜나루씨큐리티,국가 연구 과제 참여 경력개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43823398?rPageCode=SL&logpath=21,"서버관리, 클라이언트",,4일 전 수정,~03/20(수)
㈜삼정디지탈정보,시스템엔지니어 서버구축 네트워크관리 설치수리기사 유지보수 기술지원,https://www.jobkorea.co.kr/Recruit/GI_Read/44016685?rPageCode=SL&logpath=21,"컴퓨터 설치, 하드웨어, 컴퓨터 수리, 서버구축, 컴퓨터, AS",주임~대리급,4일 전 수정,~03/17(일)
㈜오케이포스,POS SW 개발자(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44016674?rPageCode=SL&logpath=21,"솔루션, ERP, 소프트웨어개발",팀원,4일 전 수정,~03/20(수)
이수정보㈜,[수원] OO기업 차세대 SCM구축(python/고급),https://www.jobkorea.co.kr/Recruit/GI_Read/44016658?rPageCode=SL&logpath=21,"SM, SI, SI개발",,4일 전 수정,~02/24(토)
㈜디아이에스,우리 회사 오퍼레이터를 모집합니다 :),https://www.jobkorea.co.kr/Recruit/GI_Read/44016630?rPageCode=SL&logpath=21,"제지, 데이터관리, 인쇄·출력, 인쇄·출력",,4일 전 수정,~03/17(일)
㈜에이엔제이솔루션,(주)에이엔제이솔루션-한국도로공사 SW (WEB) 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44016646?rPageCode=SL&logpath=21,"모바일앱개발, 솔루션, 소프트웨어개발",,4일 전 수정,~02/23(금)
한길씨앤씨,언리얼(Unreal) 프로그램 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44016613?rPageCode=SL&logpath=21,"기업교육, 컨텐츠개발, e러닝, 클라이언트",주임~대리급 외,4일 전 수정,~04/16(화)
오상자이엘 ㈜,해양경찰청 PC 및 OA 유지보수 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44016111?rPageCode=SL&logpath=21,"시스템운영, SI, PC유지보수, OA유지보수, 시스템 관리",,4일 전 수정,~03/17(일)
이수정보㈜,[여의도] OO화재 모바일 운영(java/초급),https://www.jobkorea.co.kr/Recruit/GI_Read/44016591?rPageCode=SL&logpath=21,"SM, 시스템운영, SI",,4일 전 수정,~02/23(금)
스마일로그,개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43903040?rPageCode=SL&logpath=21,"모바일앱개발, 소프트웨어개발",사원급 외,4일 전 수정,~03/01(금)
한국산업기술시험원,2024년 1분기 한국산업기술시험원 위촉계약직/인턴 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44013872?rPageCode=SL&logpath=21,"공공기관, 공기업, 연구기획, 문서작성, 통계·분석, 자료조사, 문서관리, 문서작성, 전산입력, 사이트관리, 서무, 자료조사, 행정, 송무담당, 문서관리, 문서작성, 자산관리, 전산입력, 시스템분석, 시스템설계, 정보보안, 클라이언트, SI개발, 외자구매, 자재구매, 구매계약, 기술지원, 설치, 유지보수, A·S수리, 자동제어, 금속, 제어·설계, 무인항공기·드론, 위성통신, 생명공학, 에너지, 자동차, 전기·전자, 환경, R&D, 건설·교통, 금속·철강, 연구·실험·기술, 조선·항공·우주, 제조·공정, 화학·섬유, 생산관리, 품질보증, 검증, 품질보증, 환경관리, 건축감리, 건축설계, 건축CM, 건축설계, 건축시공, 전기배선, 전기설비, 공조냉동, 가스점검, 전기점검, 시설점검, 건설안전, 산업안전, 대기환경, 환경측정, 생명공학, 건강식품연구, 의료기기연구, 의약외품연구",,4일 전 수정,~03/04(월)
이수정보㈜,"[시청역] OO화재 방카슈랑스 운영 (java/중급,고급)",https://www.jobkorea.co.kr/Recruit/GI_Read/44016546?rPageCode=SL&logpath=21,"SM, 시스템운영, SI",,4일 전 수정,~02/23(금)
리드피플㈜,통신사 P/J - PM.PL.급 개발자 구인 / 고급 / 1명 / 24.02월말 투입 - 6개월 / 근무지. 경기도 일산 곡산역 / 기타 상세 내용 및 필수사항 참고,https://www.jobkorea.co.kr/Recruit/GI_Read/44016533?rPageCode=SL&logpath=21,"모바일앱개발, SM, 솔루션, SI, 소프트웨어개발",,4일 전 수정,~03/17(일)
