회사이름,회사설명,회사URL,설명,두 번째 P 요소 텍스트,첫 번째 Span 요소 텍스트,두 번째 Span 요소 텍스트
마이스터정보기술㈜,(을지로) xx은행 ATMS프로젝트 QA,https://www.jobkorea.co.kr/Recruit/GI_Read/44043601?rPageCode=SL&logpath=21,"테스터, SI, 검증, 소프트웨어개발",,24분 전 수정,~03/13(수)
㈜유니베이아이엔씨,[프로젝트]웹프로그래머 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44045132?rPageCode=SL&logpath=21,"SI, 소프트웨어개발",,25분 전 수정,~03/21(목)
㈜위즈아이앤씨,SDS(잠실) 인사 근태시스템 개발 건 (JAVA),https://www.jobkorea.co.kr/Recruit/GI_Read/44045130?rPageCode=SL&logpath=21,"SM, SI, 소프트웨어개발",,25분 전 수정,~02/27(화)
㈜위즈아이앤씨,IBK기업은행(을지로) 스마트뱅킹 구축 건(iOS/Android),https://www.jobkorea.co.kr/Recruit/GI_Read/44045128?rPageCode=SL&logpath=21,"모바일앱개발, SM, SI, Android, IOS, 소프트웨어개발",,25분 전 수정,~02/27(화)
㈜피디정보통신,㈜PDIC 보안관제 초급/중급/고급 경력/신입 채용공고 [5-10프로 인상보장],https://www.jobkorea.co.kr/Recruit/GI_Read/44045123?rPageCode=SL&logpath=21,"네트워크보안, 보안관제, 보안소프트웨어, 정보보안",주임~대리급 외,25분 전 수정,~03/21(목)
㈜하이브랩,[하이브랩] 웹퍼블리셔 경력직 모집 (커머스 프로젝트 및 운영),https://www.jobkorea.co.kr/Recruit/GI_Read/44045111?rPageCode=SL&logpath=21,"GUI, JavaScript, HTML, 반응형웹",,25분 전 수정,~03/21(목)
㈜테크로스,[주식회사 테크로스] 2024년 1차 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43792889?rPageCode=SL&logpath=21,"메카트로닉스, 선박, 조선",,26분 전 수정,~02/29(목)
쿠팡㈜,Sr. Information Security Engineer (DLP),https://www.jobkorea.co.kr/Recruit/GI_Read/44045097?rPageCode=SL&logpath=21,"전자상거래, 정보보안, 소셜커머스, 오픈마켓, 정보보안",주임~대리급 외,26분 전 수정,~03/21(목)
㈜유니베이아이엔씨,[금융프로젝트] AA/웹기획 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44045087?rPageCode=SL&logpath=21,"SI, 소프트웨어개발",,26분 전 수정,~03/21(목)
㈜엑스페릭스,[4.5일제] 국내외 인프라 구축 사업 담당 PM 및 SE 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44045080?rPageCode=SL&logpath=21,"PM, 사업기획, 전략기획, 사업관리, 전기",,27분 전 수정,상시채용
㈜아이큐,아이큐 플랫폼개발팀 백엔드(3년이상),https://www.jobkorea.co.kr/Recruit/GI_Read/43763423?rPageCode=SL&logpath=21,반응형웹,,28분 전 수정,상시채용
대한상공회의소 서울기술교육센터,"[전액국비,취업연계] SW개발자/반도체설계/PLC 교육생 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/43659709?rPageCode=SL&logpath=21,"네트워크관리, 모바일앱개발, BigData, GUI, 빅데이터, OLAP개발자, 데이터관리, 암호화폐, 웹표준·웹접근성, 증강현실, 펌웨어, 데이터레이크, 인터페이스, 검증, 기능학원, GUI, 음성인식, SI개발, e러닝, DBMS, 스마트컨트랙트, 시스템설계, 회로설계, 딥러닝, 데이터시각화, 암호화폐, ETL, 시스템분석, 시스템운영, 데이터마이닝, 서버관리, 인공지능, 챗봇, 시스템운영, 정보보안, BI, SI개발, 방화벽, 서버구축, 시스템분석, 가상현실, 반응형웹, 이미지프로세싱, 클라이언트, SI개발, 네트워크관리, 웹마스터, 클라이언트, DID, SI개발, 모델링, 보안관제, 시스템분석, 시스템설계, 증강현실, 데이터분석, 인터페이스, 솔루션스아키텍트, 펌웨어, MMORPG, 클라우드개발자, 메타버스, 네트워크관리, 모델링, 모델링, 정보보안, IT학원, 아키텍처, 챗봇, 클라이언트, 서버구축, 시스템설계, 반응형웹, 핀테크, DW모델러, HTTP, 서버관리, 암호화폐, 음성인식, 클라우드아키텍트, 핀테크, Dapp, 네트워크관리, 소프트웨어개발, 자연어처리(NLP), 가상현실, 핀테크, 데이터파이프라인, DB튜닝, 메타버스",,점프업,~02/28(수)
대한상공회의소 광주인력개발원,[K-디지털/취업유망 취업연계]국비기술교육생모집(AI응용SW개발/CAD·CAM/자동화/전기),https://www.jobkorea.co.kr/Recruit/GI_Read/43908591?rPageCode=SL&logpath=21,"대한상공회의소 광주인력개발원, 공공기관, 공기업, 협회, 데이터분석, 서버관리, GUI, 반응형웹, 증강현실, 가상현실, 챗봇, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 모델링, 데이터마이닝, 데이터관리, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 딥러닝, 인공지능, 암호화폐, 스마트컨트랙트, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 금속, 메카트로닉스, 생산기술, CAM, 제어·설계, 기계조작, 로봇설계, 3D설계, 전기설계, CAM, 2D설계, 정보통신, 생산기술, 정보통신, 제품개발, 제어·설계, 자동화라인, 에너지, 자동제어, 공정개발, 자동화라인, 임베디드, 회로설계, 에너지, 정보통신·IT, 연구·실험·기술, 제조·공정, 화학·섬유, 전기설비, 전기설비",,점프업,~03/25(월)
신명기전,"[복지우수] 자동화 전용 기계설계, 기계조립 경력직 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/43895864?rPageCode=SL&logpath=21,"생산기술, 전기설비, PCB, 기구설계, 기술지원, 회로설계, CAM, 배관·케이블, 캐드원, 기계, 사후관리, A·S수리, 기술지원, 펌웨어, 회로설계, 시공관리, 회로설계, 임베디드, A·S수리, 3D설계, 자동화설비, 기계조립, 설치, 자동제어, PCB, 자동화라인, 메카트로닉스, 전기설계, 간판·판넬, 기계설계, 자동제어, 전기설비, CAM, 제어·설계, 기계설비, 시운전, 자동화라인, 캐드원, 전기배선, PLC, CAD, CAM, 2D설계, 품질테스트, 생산기술, 유지보수, 공정개발, 기계조작, 금속, 회로설계",사원급 외,점프업,~02/29(목)
한국정보기술연구원,한국정보기술연구원 IT취업교육 수강생모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43761376?rPageCode=SL&logpath=21,"SI개발, 시스템분석, 서버관리, 공공기관, 정보보안, 방화벽, 클라이언트, SI개발, 보안관제, 솔루션스아키텍트, 네트워크관리, 네트워크관리, 정보보안, 클라우드개발자, 아키텍처, 클라이언트, 시스템설계, 핀테크, HTTP, 암호화폐, 클라우드아키텍트, 핀테크",,점프업,~02/28(수)
